Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
M,Kevin De Bruyne (14790091),Kevin De Bruyne,14790091,CPT,17400,ARS vs MCI 02:45PM ET,MCI,21.34
M/F,Raheem Sterling (14790092),Raheem Sterling,14790092,CPT,15600,ARS vs MCI 02:45PM ET,MCI,9.42
M/F,Riyad Mahrez (14790093),Riyad Mahrez,14790093,CPT,15000,ARS vs MCI 02:45PM ET,MCI,13.41
F,Sergio Aguero (14790094),Sergio Aguero,14790094,CPT,14700,ARS vs MCI 02:45PM ET,MCI,18.02
F,Gabriel Jesus (14790095),Gabriel Jesus,14790095,CPT,14400,ARS vs MCI 02:45PM ET,MCI,14.78
M/F,Leroy Sane (14790096),Leroy Sane,14790096,CPT,14100,ARS vs MCI 02:45PM ET,MCI,0
F,Pierre-Emerick Aubameyang (14790097),Pierre-Emerick Aubameyang,14790097,CPT,13500,ARS vs MCI 02:45PM ET,ARS,0
M/F,Bernardo Silva (14790098),Bernardo Silva,14790098,CPT,12900,ARS vs MCI 02:45PM ET,MCI,10.28
M/F,Nicolas Pepe (14790099),Nicolas Pepe,14790099,CPT,12600,ARS vs MCI 02:45PM ET,ARS,13.79
M,Kevin De Bruyne (14790033),Kevin De Bruyne,14790033,FLEX,11600,ARS vs MCI 02:45PM ET,MCI,21.34
M/F,Gabriel Martinelli (14790100),Gabriel Martinelli,14790100,CPT,11400,ARS vs MCI 02:45PM ET,ARS,7.17
GK,Claudio Bravo (14790101),Claudio Bravo,14790101,CPT,11100,ARS vs MCI 02:45PM ET,MCI,11.74
F,Eddie Nketiah (14790102),Eddie Nketiah,14790102,CPT,11100,ARS vs MCI 02:45PM ET,ARS,11.66
GK,Scott Carson (14790103),Scott Carson,14790103,CPT,10800,ARS vs MCI 02:45PM ET,MCI,0
GK,Ederson Ederson (14790104),Ederson Ederson,14790104,CPT,10800,ARS vs MCI 02:45PM ET,MCI,0
M,Phil Foden (14790105),Phil Foden,14790105,CPT,10800,ARS vs MCI 02:45PM ET,MCI,13.86
F,Alexandre Lacazette (14790106),Alexandre Lacazette,14790106,CPT,10500,ARS vs MCI 02:45PM ET,ARS,7.33
M/F,Reiss Nelson (14790107),Reiss Nelson,14790107,CPT,10500,ARS vs MCI 02:45PM ET,ARS,17.05
M/F,Raheem Sterling (14790034),Raheem Sterling,14790034,FLEX,10400,ARS vs MCI 02:45PM ET,MCI,9.42
M/F,Bukayo Saka (14790108),Bukayo Saka,14790108,CPT,10200,ARS vs MCI 02:45PM ET,ARS,9.42
M/F,Riyad Mahrez (14790035),Riyad Mahrez,14790035,FLEX,10000,ARS vs MCI 02:45PM ET,MCI,13.41
M,David Silva (14790109),David Silva,14790109,CPT,9900,ARS vs MCI 02:45PM ET,MCI,7.36
F,Sergio Aguero (14790036),Sergio Aguero,14790036,FLEX,9800,ARS vs MCI 02:45PM ET,MCI,18.02
F,Gabriel Jesus (14790037),Gabriel Jesus,14790037,FLEX,9600,ARS vs MCI 02:45PM ET,MCI,14.78
M,Ilkay Gundogan (14790110),Ilkay Gundogan,14790110,CPT,9600,ARS vs MCI 02:45PM ET,MCI,12.94
M/F,Leroy Sane (14790038),Leroy Sane,14790038,FLEX,9400,ARS vs MCI 02:45PM ET,MCI,0
D,Benjamin Mendy (14790111),Benjamin Mendy,14790111,CPT,9300,ARS vs MCI 02:45PM ET,MCI,15.49
F,Pierre-Emerick Aubameyang (14790039),Pierre-Emerick Aubameyang,14790039,FLEX,9000,ARS vs MCI 02:45PM ET,ARS,0
M/F,Bernardo Silva (14790040),Bernardo Silva,14790040,FLEX,8600,ARS vs MCI 02:45PM ET,MCI,10.28
M/F,Nicolas Pepe (14790041),Nicolas Pepe,14790041,FLEX,8400,ARS vs MCI 02:45PM ET,ARS,13.79
D,Joao Cancelo (14790112),Joao Cancelo,14790112,CPT,8400,ARS vs MCI 02:45PM ET,MCI,10.13
M,Lucas Torreira (14790113),Lucas Torreira,14790113,CPT,7800,ARS vs MCI 02:45PM ET,ARS,1.12
D,Oleksandr Zinchenko (14790114),Oleksandr Zinchenko,14790114,CPT,7800,ARS vs MCI 02:45PM ET,MCI,0
M/F,Gabriel Martinelli (14790042),Gabriel Martinelli,14790042,FLEX,7600,ARS vs MCI 02:45PM ET,ARS,7.17
D,Kyle Walker (14790115),Kyle Walker,14790115,CPT,7500,ARS vs MCI 02:45PM ET,MCI,8.46
M, Rodrigo (14790116), Rodrigo,14790116,CPT,7500,ARS vs MCI 02:45PM ET,MCI,4.24
GK,Claudio Bravo (14790043),Claudio Bravo,14790043,FLEX,7400,ARS vs MCI 02:45PM ET,MCI,11.74
F,Eddie Nketiah (14790044),Eddie Nketiah,14790044,FLEX,7400,ARS vs MCI 02:45PM ET,ARS,11.66
GK,Scott Carson (14790045),Scott Carson,14790045,FLEX,7200,ARS vs MCI 02:45PM ET,MCI,0
GK,Ederson Ederson (14790046),Ederson Ederson,14790046,FLEX,7200,ARS vs MCI 02:45PM ET,MCI,0
M,Phil Foden (14790047),Phil Foden,14790047,FLEX,7200,ARS vs MCI 02:45PM ET,MCI,13.86
M,Mesut Ozil (14790117),Mesut Ozil,14790117,CPT,7200,ARS vs MCI 02:45PM ET,ARS,5.72
D,Nicolas Otamendi (14790118),Nicolas Otamendi,14790118,CPT,7200,ARS vs MCI 02:45PM ET,MCI,6.41
F,Alexandre Lacazette (14790048),Alexandre Lacazette,14790048,FLEX,7000,ARS vs MCI 02:45PM ET,ARS,7.33
M/F,Reiss Nelson (14790049),Reiss Nelson,14790049,FLEX,7000,ARS vs MCI 02:45PM ET,ARS,17.05
F,Folarin Balogun (14790119),Folarin Balogun,14790119,CPT,6900,ARS vs MCI 02:45PM ET,ARS,0
D,Taylor Harwood-Bellis (14790120),Taylor Harwood-Bellis,14790120,CPT,6900,ARS vs MCI 02:45PM ET,MCI,0
D,Kieran Tierney (14790121),Kieran Tierney,14790121,CPT,6900,ARS vs MCI 02:45PM ET,ARS,6.82
M/F,Bukayo Saka (14790050),Bukayo Saka,14790050,FLEX,6800,ARS vs MCI 02:45PM ET,ARS,9.42
M,David Silva (14790051),David Silva,14790051,FLEX,6600,ARS vs MCI 02:45PM ET,MCI,7.36
M,Dani Ceballos (14790122),Dani Ceballos,14790122,CPT,6600,ARS vs MCI 02:45PM ET,ARS,9.93
M,Granit Xhaka (14790123),Granit Xhaka,14790123,CPT,6600,ARS vs MCI 02:45PM ET,ARS,4.27
M,Ilkay Gundogan (14790052),Ilkay Gundogan,14790052,FLEX,6400,ARS vs MCI 02:45PM ET,MCI,12.94
D,Cedric Soares (14790124),Cedric Soares,14790124,CPT,6300,ARS vs MCI 02:45PM ET,ARS,1.58
D,Aymeric Laporte (14790125),Aymeric Laporte,14790125,CPT,6300,ARS vs MCI 02:45PM ET,MCI,8.28
D,Benjamin Mendy (14790053),Benjamin Mendy,14790053,FLEX,6200,ARS vs MCI 02:45PM ET,MCI,15.49
D,Hector Bellerin (14790126),Hector Bellerin,14790126,CPT,6000,ARS vs MCI 02:45PM ET,ARS,2.26
GK,Emiliano Martinez (14790127),Emiliano Martinez,14790127,CPT,6000,ARS vs MCI 02:45PM ET,ARS,12.48
GK,Bernd Leno (14790128),Bernd Leno,14790128,CPT,5700,ARS vs MCI 02:45PM ET,ARS,0
GK,Matt Macey (14790129),Matt Macey,14790129,CPT,5700,ARS vs MCI 02:45PM ET,ARS,0
D,Ainsley Maitland-Niles (14790130),Ainsley Maitland-Niles,14790130,CPT,5700,ARS vs MCI 02:45PM ET,ARS,1.78
D,Calum Chambers (14790131),Calum Chambers,14790131,CPT,5700,ARS vs MCI 02:45PM ET,ARS,0
D,Joao Cancelo (14790054),Joao Cancelo,14790054,FLEX,5600,ARS vs MCI 02:45PM ET,MCI,10.13
M,Tommy Doyle (14790132),Tommy Doyle,14790132,CPT,5400,ARS vs MCI 02:45PM ET,MCI,0
D, Fernandinho (14790133), Fernandinho,14790133,CPT,5400,ARS vs MCI 02:45PM ET,MCI,0
D,David Luiz (14790134),David Luiz,14790134,CPT,5400,ARS vs MCI 02:45PM ET,ARS,6.75
D,Pablo Mari (14790135),Pablo Mari,14790135,CPT,5400,ARS vs MCI 02:45PM ET,ARS,6.52
M,Lucas Torreira (14790055),Lucas Torreira,14790055,FLEX,5200,ARS vs MCI 02:45PM ET,ARS,1.12
D,Oleksandr Zinchenko (14790056),Oleksandr Zinchenko,14790056,FLEX,5200,ARS vs MCI 02:45PM ET,MCI,0
M,Adrian Bernabe (14790136),Adrian Bernabe,14790136,CPT,5100,ARS vs MCI 02:45PM ET,MCI,0
D,John Stones (14790137),John Stones,14790137,CPT,5100,ARS vs MCI 02:45PM ET,MCI,5.49
D,Shkodran Mustafi (14790138),Shkodran Mustafi,14790138,CPT,5100,ARS vs MCI 02:45PM ET,ARS,2.82
D, Sokratis (14790139), Sokratis,14790139,CPT,5100,ARS vs MCI 02:45PM ET,ARS,7.21
D,Kyle Walker (14790057),Kyle Walker,14790057,FLEX,5000,ARS vs MCI 02:45PM ET,MCI,8.46
M, Rodrigo (14790058), Rodrigo,14790058,FLEX,5000,ARS vs MCI 02:45PM ET,MCI,4.24
M,Mesut Ozil (14790059),Mesut Ozil,14790059,FLEX,4800,ARS vs MCI 02:45PM ET,ARS,5.72
D,Nicolas Otamendi (14790060),Nicolas Otamendi,14790060,FLEX,4800,ARS vs MCI 02:45PM ET,MCI,6.41
M,Matteo Guendouzi (14790140),Matteo Guendouzi,14790140,CPT,4800,ARS vs MCI 02:45PM ET,ARS,4.59
D,Sead Kolasinac (14790141),Sead Kolasinac,14790141,CPT,4800,ARS vs MCI 02:45PM ET,ARS,1.71
D,Eric Garcia (14790142),Eric Garcia,14790142,CPT,4800,ARS vs MCI 02:45PM ET,MCI,7.24
D,Alpha Richard Dionkou (14790143),Alpha Richard Dionkou,14790143,CPT,4800,ARS vs MCI 02:45PM ET,MCI,0
F,Folarin Balogun (14790061),Folarin Balogun,14790061,FLEX,4600,ARS vs MCI 02:45PM ET,ARS,0
D,Taylor Harwood-Bellis (14790062),Taylor Harwood-Bellis,14790062,FLEX,4600,ARS vs MCI 02:45PM ET,MCI,0
D,Kieran Tierney (14790063),Kieran Tierney,14790063,FLEX,4600,ARS vs MCI 02:45PM ET,ARS,6.82
D,Rob Holding (14790144),Rob Holding,14790144,CPT,4500,ARS vs MCI 02:45PM ET,ARS,2.75
D,Tolaji Bola (14790145),Tolaji Bola,14790145,CPT,4500,ARS vs MCI 02:45PM ET,ARS,0
M,Robbie Burton (14790146),Robbie Burton,14790146,CPT,4500,ARS vs MCI 02:45PM ET,ARS,0
M,Joseph Willock (14790147),Joseph Willock,14790147,CPT,4500,ARS vs MCI 02:45PM ET,ARS,4.2
D,Zech Medley (14790148),Zech Medley,14790148,CPT,4500,ARS vs MCI 02:45PM ET,ARS,0
M,Dani Ceballos (14790064),Dani Ceballos,14790064,FLEX,4400,ARS vs MCI 02:45PM ET,ARS,9.93
M,Granit Xhaka (14790065),Granit Xhaka,14790065,FLEX,4400,ARS vs MCI 02:45PM ET,ARS,4.27
D,Cedric Soares (14790066),Cedric Soares,14790066,FLEX,4200,ARS vs MCI 02:45PM ET,ARS,1.58
D,Aymeric Laporte (14790067),Aymeric Laporte,14790067,FLEX,4200,ARS vs MCI 02:45PM ET,MCI,8.28
D,Hector Bellerin (14790068),Hector Bellerin,14790068,FLEX,4000,ARS vs MCI 02:45PM ET,ARS,2.26
GK,Emiliano Martinez (14790069),Emiliano Martinez,14790069,FLEX,4000,ARS vs MCI 02:45PM ET,ARS,12.48
GK,Bernd Leno (14790070),Bernd Leno,14790070,FLEX,3800,ARS vs MCI 02:45PM ET,ARS,0
GK,Matt Macey (14790071),Matt Macey,14790071,FLEX,3800,ARS vs MCI 02:45PM ET,ARS,0
D,Ainsley Maitland-Niles (14790072),Ainsley Maitland-Niles,14790072,FLEX,3800,ARS vs MCI 02:45PM ET,ARS,1.78
D,Calum Chambers (14790073),Calum Chambers,14790073,FLEX,3800,ARS vs MCI 02:45PM ET,ARS,0
M,Tommy Doyle (14790074),Tommy Doyle,14790074,FLEX,3600,ARS vs MCI 02:45PM ET,MCI,0
D, Fernandinho (14790075), Fernandinho,14790075,FLEX,3600,ARS vs MCI 02:45PM ET,MCI,0
D,David Luiz (14790076),David Luiz,14790076,FLEX,3600,ARS vs MCI 02:45PM ET,ARS,6.75
D,Pablo Mari (14790077),Pablo Mari,14790077,FLEX,3600,ARS vs MCI 02:45PM ET,ARS,6.52
M,Adrian Bernabe (14790078),Adrian Bernabe,14790078,FLEX,3400,ARS vs MCI 02:45PM ET,MCI,0
D,John Stones (14790079),John Stones,14790079,FLEX,3400,ARS vs MCI 02:45PM ET,MCI,5.49
D,Shkodran Mustafi (14790080),Shkodran Mustafi,14790080,FLEX,3400,ARS vs MCI 02:45PM ET,ARS,2.82
D, Sokratis (14790081), Sokratis,14790081,FLEX,3400,ARS vs MCI 02:45PM ET,ARS,7.21
M,Matteo Guendouzi (14790082),Matteo Guendouzi,14790082,FLEX,3200,ARS vs MCI 02:45PM ET,ARS,4.59
D,Sead Kolasinac (14790083),Sead Kolasinac,14790083,FLEX,3200,ARS vs MCI 02:45PM ET,ARS,1.71
D,Eric Garcia (14790084),Eric Garcia,14790084,FLEX,3200,ARS vs MCI 02:45PM ET,MCI,7.24
D,Alpha Richard Dionkou (14790085),Alpha Richard Dionkou,14790085,FLEX,3200,ARS vs MCI 02:45PM ET,MCI,0
D,Rob Holding (14790086),Rob Holding,14790086,FLEX,3000,ARS vs MCI 02:45PM ET,ARS,2.75
D,Tolaji Bola (14790087),Tolaji Bola,14790087,FLEX,3000,ARS vs MCI 02:45PM ET,ARS,0
M,Robbie Burton (14790088),Robbie Burton,14790088,FLEX,3000,ARS vs MCI 02:45PM ET,ARS,0
M,Joseph Willock (14790089),Joseph Willock,14790089,FLEX,3000,ARS vs MCI 02:45PM ET,ARS,4.2
D,Zech Medley (14790090),Zech Medley,14790090,FLEX,3000,ARS vs MCI 02:45PM ET,ARS,0
